A_NET,P_I,T_LEAF,PPAR
4.493398322,20.9314307,29.3939,1199.99
4.678814322,20.92058234,29.3854,1199.98
2.645201051,17.86666845,29.4119,1199.91
1.716189888,12.08396869,29.4168,1199.97
-0.109970459,8.435827165,29.4217,1199.9
-0.795861214,5.935725731,29.4205,1199.9
4.885339235,21.41558221,29.4003,1199.91
6.216263383,27.29512482,29.3972,1200.04
7.803208913,30.9754379,29.389,1200
9.245745523,35.5834202,29.3721,1200.01
10.15054283,42.92515027,29.3573,1200.17
11.43542064,47.22289476,29.3414,1200.07
12.14068798,53.45972158,29.3482,1200.18
12.86075913,61.04652258,29.3462,1200.16
13.58402368,65.83522093,29.3309,1200.22
14.23752603,72.00113519,29.3183,1199.95
14.64512143,78.75078595,29.3192,1199.97
14.82656205,87.04804176,29.327,1199.97
15.42199795,92.4132461,29.3522,1200
4.239048954,22.16297124,29.4004,1199.95
